Date,Open,High,Low,Close
2022-12-17,1792.598,1792.598,1792.598,1792.598
2022-12-18,1792.257,1793.387,1790.895,1790.965
2022-12-19,1790.925,1798.637,1783.785,1787.125
2022-12-20,1787.105,1821.035,1784.505,1817.135
2022-12-21,1817.135,1823.685,1811.705,1814.845
2022-12-22,1814.825,1820.325,1784.627,1793.415
2022-12-23,1793.435,1803.095,1791.065,1798.198
2022-12-24,1798.198,1798.198,1798.198,1798.198
2022-12-25,1798.198,1798.198,1798.198,1798.198
2022-12-26,1800.047,1803.965,1799.687,1801.685
2022-12-27,1801.705,1833.215,1800.565,1812.335
2022-12-28,1812.315,1814.415,1796.905,1805.695
2022-12-29,1805.655,1820.015,1804.205,1814.895
2022-12-30,1814.905,1825.877,1813.175,1823.463
2022-12-31,1823.463,1823.463,1823.463,1823.463
2023-01-01,1823.463,1823.463,1823.463,1823.463
2023-01-02,1826.837,1829.958,1823.287,1829.295
2023-01-03,1829.285,1849.865,1826.685,1836.348
2023-01-04,1836.348,1865.035,1836.048,1854.648
2023-01-05,1854.615,1858.875,1824.995,1832.725
2023-01-06,1832.715,1869.765,1831.198,1865.598
2023-01-07,1865.598,1865.598,1865.598,1865.598
2023-01-08,1867.537,1869.808,1864.477,1869.585
2023-01-09,1869.595,1881.445,1866.975,1870.415
2023-01-10,1870.405,1880.635,1867.745,1877.165
2023-01-11,1877.125,1886.548,1867.015,1876.845
2023-01-12,1876.875,1901.475,1872.76,1897.955
2023-01-13,1897.965,1921.798,1892.205,1919.398
2023-01-14,1919.398,1919.398,1919.398,1919.398
2023-01-15,1920.337,1922.047,1916.795,1916.845
2023-01-16,1916.865,1928.885,1910.665,1917.845
2023-01-17,1917.855,1918.925,1903.675,1908.558
2023-01-18,1908.558,1925.798,1896.495,1906.795
2023-01-19,1906.825,1935.045,1900.855,1931.575
2023-01-20,1931.565,1937.435,1920.508,1925.298
2023-01-21,1925.298,1925.298,1925.298,1925.298
2023-01-22,1926.128,1927.548,1923.608,1927.165
2023-01-23,1927.175,1935.445,1911.248,1931.225
2023-01-24,1931.235,1942.348,1917.065,1936.925
2023-01-25,1936.905,1948.725,1919.697,1948.175
2023-01-26,1948.195,1949.085,1918.627,1930.655
2023-01-27,1930.645,1934.918,1916.525,1927.598
2023-01-28,1927.598,1927.598,1927.598,1927.598
2023-01-29,1927.108,1929.127,1925.378,1928.875
2023-01-30,1928.885,1934.425,1920.585,1921.985
2023-01-31,1922.015,1930.998,1900.665,1927.198
2023-02-01,1927.198,1956.025,1920.435,1952.985
2023-02-02,1952.985,1959.625,1911.225,1915.025
2023-02-03,1915.035,1918.485,1861.255,1864.548
2023-02-04,1864.548,1864.548,1864.548,1864.548
2023-02-05,1864.508,1869.775,1859.647,1865.425
2023-02-06,1865.405,1881.198,1862.935,1868.445
2023-02-07,1868.465,1884.348,1864.898,1872.865
2023-02-08,1872.855,1886.345,1868.898,1874.855
2023-02-09,1874.855,1890.098,1858.855,1862.305
2023-02-10,1862.305,1872.035,1852.588,1864.698
2023-02-11,1864.698,1864.698,1864.698,1864.698
2023-02-12,1863.917,1865.178,1862.538,1862.598
2023-02-13,1862.565,1866.395,1850.325,1854.355
